RecordID,carat,cut,color,clarity,depth,table,x,y,z,price
4,1.32,Very Good,G,SI2,62.9,57,6.94,6.98,4.38,6294
5,0.31,Very Good,H,VS2,63.2,58,4.33,4.31,2.73,628
6,0.33,Ideal,G,VVS1,62.3,55,4.43,4.46,2.77,868
8,0.32,Ideal,G,VS2,61.8,55,4.4,4.43,2.73,564
11,0.43,Premium,E,SI2,61,60,4.94,4.87,2.99,903
13,0.3,Premium,E,IF,60.1,60,4.32,4.3,2.59,1097
14,1.41,Good,H,VS2,63.8,60,7.12,7.04,4.52,9254
15,1.5,Very Good,G,SI1,61.5,59,7.31,7.39,4.52,9645
16,0.32,Ideal,E,VS1,61.7,56,4.42,4.39,2.72,972
19,0.54,Ideal,E,VS2,60.5,56,5.26,5.28,3.19,1754
23,0.31,Ideal,D,VS2,61.2,55,4.42,4.37,2.69,942
26,0.9,Very Good,F,SI2,60.3,63,6.28,6.21,3.77,3630
29,1.01,Very Good,E,VS2,61.7,56,6.41,6.45,3.97,5777
30,1.09,Ideal,F,VS2,60.9,54,6.73,6.66,4.08,7520
32,1.03,Premium,H,SI1,61.8,58,6.47,6.41,3.98,3945
33,0.32,Premium,F,SI1,62.3,55,4.44,4.39,2.75,684
34,1.03,Ideal,F,VVS2,62,56,6.45,6.48,4.01,9245
35,0.36,Premium,F,SI1,61.9,59,4.54,4.51,2.8,770
36,1,Premium,D,SI2,61.6,58,6.45,6.37,3.95,4626
38,0.3,Good,H,VVS2,63.7,55,4.24,4.27,2.71,605
41,0.51,Ideal,E,SI1,59.6,57,5.2,5.24,3.11,1438
46,0.6,Premium,E,VS2,62.7,58,5.37,5.34,3.36,1915
48,2.24,Ideal,I,SI2,62.1,53.6,8.38,8.41,5.21,15730
49,1.21,Premium,J,VVS2,61.7,60,6.85,6.82,4.22,5531
55,1.86,Very Good,H,VVS2,58.6,62,8.07,8.14,4.75,17267
56,0.72,Premium,F,VS2,62.1,57,5.73,5.71,3.55,2724
57,1.01,Very Good,D,SI1,59.8,56,6.57,6.6,3.94,5394
58,1.24,Ideal,G,VS2,62.3,57,6.95,6.89,4.31,8799
64,0.5,Very Good,D,VVS2,61.7,59,5.02,5.09,3.12,2115
65,0.32,Good,E,SI1,63.1,56,4.36,4.39,2.76,561
66,0.43,Ideal,D,VS1,61.6,56,4.85,4.86,2.99,1207
71,0.4,Very Good,G,SI1,61.9,55,4.71,4.75,2.93,682
73,0.53,Ideal,G,VVS1,61.6,57,5.2,5.22,3.21,2153
74,0.31,Ideal,E,VS2,62,55,4.33,4.35,2.69,680
77,1.15,Premium,G,SI1,62.2,56,6.76,6.68,4.18,5851
81,0.3,Premium,I,VS1,59.8,60,4.36,4.34,2.6,608
82,1,Fair,G,SI1,64.4,57,6.32,6.28,4.06,4295
86,1.29,Ideal,H,SI1,62.6,56,6.96,6.93,4.35,6424
91,1.44,Very Good,E,I1,61.1,62,7.15,7.23,4.39,5068
97,0.33,Very Good,G,VS2,62.1,56,4.41,4.44,2.75,579
100,1.39,Premium,F,SI1,62.4,59,7.14,7.09,4.44,8925
103,0.57,Ideal,D,VS2,61.7,56,5.3,5.37,3.29,2099
105,0.33,Premium,J,VS1,61.5,61,4.46,4.39,2.72,557
106,0.3,Ideal,G,VVS1,60.4,58,4.36,4.38,2.64,747
113,1.3,Very Good,J,VS2,63.3,57,6.98,6.96,4.41,4106
116,0.74,Ideal,I,VVS2,61.3,57,5.82,5.85,3.57,3130
117,0.31,Premium,G,SI1,61.5,59,4.38,4.34,2.68,593
119,0.42,Good,G,VVS2,57.7,59.8,4.95,4.96,2.86,1076
121,0.3,Premium,E,VS2,61.9,61,4.32,4.28,2.66,844
127,0.7,Good,F,SI1,,65,5.71,5.66,3.5,2401
128,0.52,Very Good,D,VS2,63.4,56,5.16,5.09,3.25,1828
133,0.92,Premium,F,SI2,62.1,60,6.21,6.26,3.87,3083
134,2,Good,J,I1,63.6,62,7.97,7.8,5.02,6521
136,0.39,Ideal,E,VS1,60.8,56,4.74,4.77,2.89,914
138,2.13,Ideal,H,SI1,62.2,55,8.2,8.27,5.12,18275
142,0.51,Premium,E,SI1,58.2,61,5.27,5.22,3.05,1340
